iter	Logloss	Accuracy	Recall	Precision
0	0.2807378553	0.9796879333	0.9564499097	0.9411956563
1	0.1325739566	0.9795384016	0.9530609676	0.9434472866
2	0.09171124496	0.984286034	0.9528785453	0.9667234049
3	0.06629294655	0.9881228363	0.967048383	0.9723924478
4	0.05516232614	0.9905572734	0.9790342928	0.9731037671
5	0.04597015052	0.9916742148	0.9823333085	0.9754934479
6	0.03766417431	0.9920818908	0.9837592849	0.9761548444
7	0.03363441323	0.9933569519	0.9864082609	0.9799375665
8	0.03152338349	0.99413189	0.9875002248	0.9827381211
9	0.02889992959	0.9940854139	0.9880937393	0.9819378165
10	0.02524677277	0.9962445309	0.9884508758	0.9924184382
11	0.02321313601	0.9963874953	0.9891702873	0.9924315852
12	0.02157917947	0.9966628156	0.9898023417	0.993201418
13	0.01879553948	0.9967800161	0.9901826021	0.9934190685
14	0.01691357987	0.9968759993	0.9913799084	0.9927215377
15	0.01594270776	0.9967001985	0.9916856583	0.991532804
16	0.01505760029	0.9967027244	0.9917575994	0.9914748355
17	0.01388487558	0.9974433106	0.991927175	0.9950539197
18	0.01294478886	0.9974761469	0.9920839039	0.9950649545
19	0.0125050238	0.9974933229	0.992194385	0.9950424254
20	0.01202128976	0.9977060014	0.9932966262	0.995027411
21	0.01131080453	0.9977964277	0.9933711367	0.9954120528
22	0.01094790029	0.9978130985	0.99339683	0.9954711171
23	0.01063526308	0.9980080959	0.9943654662	0.9954985544
24	0.01027809136	0.9980762945	0.994717464	0.9954950206
25	0.009639491009	0.9980636652	0.9946686468	0.9954794415
26	0.009093596847	0.9982450229	0.9946840627	0.9963839266
27	0.008850476562	0.9983046335	0.9949487034	0.9964233425
28	0.008437348146	0.998343532	0.9950617538	0.9965083547
29	0.008080445045	0.9983950598	0.9953263944	0.9965067165
30	0.007960278263	0.998430422	0.9954856927	0.9965277778
31	0.007665186972	0.9984268858	0.9954497221	0.9965455953
32	0.007493236914	0.9984481031	0.9955422179	0.9965612936
33	0.007228304348	0.9984718464	0.9956321443	0.9965923587
34	0.007112475959	0.9984905378	0.9957657493	0.9965543753
35	0.006947286541	0.998442041	0.9959969887	0.9960788848
36	0.006761500233	0.998430422	0.9959456022	0.9960710046
37	0.006580351181	0.998546107	0.9960509446	0.9965527967
38	0.006380875356	0.9985885417	0.9962487828	0.996571408
39	0.006219942632	0.998615316	0.9963746798	0.996582084
40	0.006188391374	0.9986203677	0.9963926651	0.9965898286
41	0.006016856969	0.9986799784	0.9966932763	0.9965934139
42	0.005964907849	0.9986910922	0.9967241083	0.996619122
43	0.005935451412	0.998595109	0.9967266776	0.996130341
44	0.005705908797	0.9988411291	0.9974589357	0.9966497485
45	0.005642861331	0.9988502223	0.997476921	0.9966779541
46	0.00551759637	0.9988517378	0.997492337	0.9966703292
47	0.005360706463	0.9988790172	0.99763365	0.996668241
48	0.005310277586	0.9988855845	0.9976619126	0.9966734515
49	0.005225829687	0.9988881104	0.9976721899	0.9966760439
50	0.005198903053	0.9988906362	0.9976644819	0.9966964847
51	0.005147758101	0.9988860897	0.9976413579	0.9966964084
