iter	Passed	Remaining
0	264	264128
1	384	191667
2	495	164832
3	614	153012
4	728	145019
5	836	138552
6	944	134026
7	1062	131711
8	1156	127359
9	1254	124200
10	1370	123194
11	1484	122239
12	1608	122133
13	1722	121313
14	1825	119874
15	1942	119438
16	2050	118587
17	2175	118664
18	2289	118219
19	2398	117543
20	2510	117030
21	2614	116245
22	2728	115883
23	2832	115173
24	2945	114878
25	3062	114734
26	3168	114180
27	3284	114002
28	3385	113353
29	3506	113389
30	3612	112917
31	3725	112692
32	3830	112253
33	3931	111695
34	4057	111868
35	4177	111867
36	4311	112215
37	4449	112633
38	4569	112593
39	4690	112578
40	4804	112370
41	4927	112391
42	5040	112171
43	5156	112036
44	5295	112381
45	5412	112260
46	5535	112239
47	5660	112275
48	5775	112099
49	5894	111987
50	6002	111687
51	6121	111604
52	6244	111568
53	6363	111472
54	6482	111375
55	6603	111317
56	6738	111485
57	6865	111510
58	6988	111464
59	7101	111258
60	7217	111099
61	7329	110887
62	7438	110634
63	7556	110518
64	7680	110483
65	7799	110376
66	7916	110243
67	8037	110164
68	8162	110141
69	8288	110120
70	8421	110192
71	8533	109982
72	8647	109813
73	8770	109754
74	8900	109773
75	9032	109817
76	9155	109742
77	9265	109517
78	9397	109560
79	9514	109417
80	9626	109215
81	9750	109154
82	9864	108987
83	9994	108989
84	10096	108685
85	10202	108434
86	10303	108132
87	10407	107854
88	10505	107529
89	10608	107265
90	10724	107130
91	10842	107014
92	10957	106861
93	11089	106885
94	11212	106814
95	11336	106754
96	11451	106607
97	11573	106525
98	11693	106419
99	11810	106297
100	11924	106138
101	12042	106025
102	12158	105884
103	12260	105624
104	12373	105469
105	12490	105345
106	12606	105214
107	12718	105045
108	12828	104867
109	12944	104731
110	13062	104615
111	13189	104576
112	13307	104454
113	13418	104290
114	13539	104196
115	13650	104027
116	13763	103874
117	13884	103781
118	13977	103480
119	14080	103254
120	14183	103036
121	14282	102790
122	14384	102560
123	14485	102333
124	14590	102133
125	14716	102079
126	14823	101895
127	14958	101905
128	15077	101800
129	15183	101610
130	15291	101437
131	15403	101290
132	15515	101139
133	15618	100935
134	15721	100735
135	15823	100522
136	15922	100299
137	16025	100099
138	16133	99933
139	16241	99766
140	16342	99562
141	16445	99370
142	16547	99166
143	16651	98981
144	16759	98821
145	16864	98647
146	16969	98467
147	17071	98274
148	17173	98087
149	17277	97904
150	17376	97699
151	17479	97517
152	17581	97327
153	17681	97131
154	17786	96963
155	17886	96770
156	17986	96576
157	18092	96418
158	18191	96222
159	18291	96030
160	18391	95839
161	18493	95665
162	18600	95513
163	18704	95346
164	18804	95162
165	18905	94983
166	19005	94801
167	19108	94631
168	19208	94451
169	19308	94269
170	19408	94093
171	19507	93910
172	19608	93733
173	19708	93557
174	19808	93380
175	19909	93213
176	20007	93028
177	20113	92885
178	20213	92709
179	20313	92539
180	20413	92368
181	20513	92197
182	20611	92020
183	20712	91856
184	20810	91680
185	20914	91527
186	21012	91355
187	21117	91208
188	21215	91036
189	21316	90877
190	21417	90715
191	21517	90552
192	21616	90384
193	21715	90218
194	21815	90057
195	21916	89901
196	22017	89747
197	22124	89615
198	22225	89461
199	22326	89306
200	22430	89162
201	22532	89015
202	22632	88857
203	22731	88697
204	22830	88536
205	22930	88382
206	23030	88226
207	23132	88081
208	23233	87931
209	23332	87775
210	23436	87636
211	23536	87483
212	23637	87336
213	23735	87179
214	23836	87029
215	23941	86898
216	24044	86761
217	24147	86622
218	24246	86469
219	24347	86321
220	24447	86175
221	24550	86035
222	24649	85886
223	24750	85742
224	24850	85595
225	24954	85463
226	25057	85327
227	25166	85211
228	25267	85072
229	25368	84929
230	25470	84790
231	25574	84658
232	25677	84525
233	25777	84382
234	25876	84236
235	25977	84097
236	26080	83964
237	26188	83847
238	26290	83713
239	26392	83576
240	26494	83442
241	26597	83309
242	26697	83168
243	26800	83036
244	26900	82896
245	26999	82754
246	27102	82624
247	27205	82494
248	27307	82360
249	27407	82223
250	27507	82085
251	27610	81955
252	27711	81821
253	27811	81681
254	27911	81544
255	28010	81405
256	28111	81273
257	28218	81156
258	28319	81022
259	28420	80887
260	28519	80750
261	28621	80621
262	28721	80486
263	28820	80346
264	28920	80214
265	29020	80078
266	29120	79945
267	29227	79831
268	29326	79694
269	29425	79559
270	29525	79425
271	29625	79290
272	29725	79160
273	29825	79026
274	29926	78896
275	30027	78768
276	30127	78636
277	30238	78532
278	30337	78400
279	30437	78266
280	30540	78144
281	30638	78007
282	30737	77874
